,gmkey,ast,twop,threep,freep,offr,ppp,dk,defr,stl,bs,foul,tf,gd,score
0,S17G01N1,0.5733333333333334,0.5893719806763285,0.3835616438356164,0.7456140350877193,0.2796610169491525,0.6453488372093024,1.0,0.7832167832167832,0.44827586206896547,0.076158940397351,0.4764397905759162,,0.6,99
1,S17G01N10,0.56875,0.5936073059360731,0.42857142857142855,0.6929824561403509,0.24087591240875914,0.6577540106951872,1.0,0.6815286624203821,0.5,0.06031746031746031,0.4585365853658537,,0.45454545454545453,79
2,S17G01N100,0.5608108108108109,0.5970149253731343,0.3733333333333333,0.6952380952380952,0.22950819672131148,0.6742424242424243,0.8666666666666667,0.6,0.4230769230769231,0.057926829268292686,0.5164319248826291,0.8571428571428572,0.6,79
3,S17G01N101,0.4642857142857143,0.47916666666666663,0.39669421487603307,0.6707317073170732,0.2818791946308725,0.5,0.7777777777777777,0.6903225806451613,0.5441176470588235,0.00967741935483871,0.5404255319148936,0.3333333333333333,0.3333333333333333,92
4,S17G01N102,0.572463768115942,0.5023923444976077,0.32999999999999996,0.7373737373737373,0.24305555555555555,0.5695364238410596,1.0,0.694267515923567,0.6176470588235293,0.05863192182410424,0.5082644628099173,0.4,0.25,83
5,S17G01N103,0.631578947368421,0.4615384615384615,0.44047619047619047,0.712871287128713,0.3103448275862069,0.5,1.0,0.7606837606837608,0.45454545454545453,0.04729729729729729,0.5192307692307693,,0.3846153846153846,81
6,S17G01N104,0.6,0.4880382775119617,0.3027522935779816,0.7088607594936708,0.3636363636363636,0.5476190476190477,0.5,0.6845637583892618,0.47457627118644063,0.026845637583892617,0.48543689320388345,1.0,0.5,77
7,S17G01N105,0.5620915032679739,0.6056338028169014,0.3243243243243243,0.7499999999999999,0.17763157894736845,0.6879432624113475,0.9375,0.7285714285714285,0.5333333333333333,0.075,0.4954545454545455,0.8571428571428572,0.8571428571428572,67
8,S17G01N106,0.5248226950354611,0.45698924731182794,0.4516129032258064,0.6881720430107526,0.3134328358208956,0.4881889763779528,0.7142857142857143,0.7795275590551182,0.44594594594594594,0.010169491525423728,0.5656108597285068,1.0,0.3333333333333333,68
9,S17G01N107,0.5933333333333334,0.539906103286385,0.38461538461538464,0.7171717171717171,0.2734375,0.6266666666666667,1.0,0.6666666666666667,0.6111111111111112,0.05214723926380368,0.5252100840336135,0.25,0.28571428571428575,60
10,S17G01N108,0.6,0.5578947368421052,0.4193548387096774,0.6917293233082706,0.2887323943661972,0.6240601503759399,1.0,0.6941176470588236,0.5294117647058825,0.048859934853420196,0.4976744186046511,1.0,0.12500000000000003,87
11,S17G01N109,0.6516129032258065,0.5915492957746479,0.3717948717948718,0.6301369863013698,0.3448275862068966,0.6292134831460674,1.0,0.6956521739130433,0.5762711864406779,0.07741935483870968,0.48258706467661683,0.5,0.2,52
12,S17G01N11,0.5734265734265733,0.5900000000000001,0.28409090909090906,0.7333333333333334,0.27586206896551724,0.7169811320754716,0.7499999999999999,0.7906976744186047,0.6,0.034722222222222224,0.49735449735449744,,0.33333333333333337,71
13,S17G01N110,0.5759493670886076,0.5674418604651162,0.37894736842105264,0.7346938775510203,0.2773722627737226,0.6322580645161291,1.0,0.7025316455696202,0.5342465753424658,0.06309148264984227,0.4881889763779528,0.4,0.37499999999999994,72
14,S17G01N111,0.5294117647058824,0.5509259259259259,0.3695652173913044,0.7777777777777778,0.29608938547486036,0.622093023255814,0.8181818181818181,0.6783216783216783,0.44000000000000006,0.05985915492957747,0.5,0.7499999999999999,0.45454545454545453,65
15,S17G01N112,0.5954198473282443,0.47738693467336685,0.34285714285714286,0.7721518987341771,0.3035714285714286,0.5328467153284672,1.0,0.6666666666666667,0.4,0.03202846975088968,0.5560975609756098,0.0,0.7857142857142857,86
16,S17G01N113,0.45751633986928103,0.5569620253164557,0.27631578947368424,0.776470588235294,0.34838709677419355,0.6055555555555556,1.0,0.7794117647058824,0.5490196078431373,0.0736842105263158,0.5065502183406114,0.37499999999999994,0.5555555555555556,71
17,S17G01N114,0.525974025974026,0.5769230769230769,0.4197530864197531,0.7522935779816513,0.22535211267605637,0.653061224489796,0.8333333333333334,0.7028985507246377,0.6129032258064516,0.042345276872964174,0.4685990338164251,0.6666666666666666,0.5,92
18,S17G01N115,0.5179856115107914,0.4761904761904762,0.4083333333333334,0.7523809523809524,0.3137254901960784,0.5378787878787878,0.9,0.6357615894039735,0.6,0.009646302250803858,0.5106382978723404,0.5,0.6363636363636362,67
19,S17G01N116,0.6618705035971222,0.5643564356435644,0.3472222222222222,0.7058823529411765,0.2925170068027211,0.6060606060606061,1.0,0.801470588235294,0.5714285714285715,0.08928571428571429,0.4587628865979382,0.28571428571428575,0.6153846153846154,76
20,S17G01N117,0.496551724137931,0.5650000000000001,0.3595505617977528,0.7661290322580645,0.2582781456953642,0.6312056737588653,0.8333333333333334,0.717391304347826,0.5352112676056338,0.0457516339869281,0.43829787234042555,0.4,0.5,82
