,player_record_idx,gmKey,pcode,ast,bs,defr,dk,dkA,ef,fb,fg,fgA,fgt,fgtA,fo,foul,ft,ftA,gd,idf,inout,inout1,offr,playMin,playSec,pp,ppA,pscore,stl,tf,threep,threepA,to,wft,woft,startFlag,tcode,rb,score,trueShooting,astRatio,rebRatio,gmRb,gameDate
0,50,S17G01N1,210074,7,0,4,0,0,0,0,8,10,9,13,0,3,5,6,0,0,2,2,0,33,45,8,10,16,4,0,1,3,4,1,2,1,10,4,24,0.767263,26.2763,251.259,53.0,20101015
1,62,S17G01N1,240044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0.0,0.0,0.0,53.0,20101015
2,64,S17G01N1,255047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,55,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0.0,0.0,0.0,53.0,20101015
3,54,S17G01N1,290250,1,1,4,0,0,0,0,7,12,7,12,0,3,0,1,0,0,2,2,0,17,17,6,8,12,0,0,0,0,2,3,0,0,10,4,14,0.562701,6.47668,490.646,53.0,20101015
4,67,S17G01N1,290291,0,0,5,0,0,0,0,1,4,1,4,0,1,3,4,0,0,1,1,0,37,5,1,4,2,0,0,0,0,2,0,1,1,70,5,5,0.434028,0.0,285.843,53.0,20101015
5,56,S17G01N1,290293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,12,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0,0.0,0.0,53.0,20101015
6,86,S17G01N2,215029,3,0,1,0,0,0,0,0,3,2,6,0,2,1,1,0,0,1,1,0,34,19,0,3,0,0,0,2,3,2,1,1,1,65,1,7,0.543478,26.2238,76.9305,66.0,20101016
7,74,S17G01N2,235042,2,0,3,0,0,0,0,1,2,4,8,0,1,6,7,0,0,2,3,0,35,57,0,0,0,2,0,3,6,1,0,1,1,35,3,17,0.767148,14.2045,220.306,66.0,20101016
8,77,S17G01N2,240064,5,0,4,0,0,0,0,2,4,5,10,0,4,1,2,0,0,1,1,0,41,3,2,4,4,3,0,3,6,6,3,1,1,35,4,14,0.643382,22.8519,257.247,66.0,20101016
9,82,S17G01N2,290276,1,2,2,0,0,0,0,4,9,4,10,0,2,0,1,0,0,2,2,0,23,29,3,6,6,0,0,0,1,4,1,1,1,35,2,8,0.383142,6.47668,224.84,66.0,20101016
10,95,S17G01N2,290325,1,1,7,2,2,0,0,8,13,8,13,0,4,4,6,0,0,5,5,3,28,7,8,11,16,3,0,0,0,4,4,0,1,65,10,20,0.639386,4.84496,938.945,66.0,20101016
11,99,S17G01N3,220051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06,0,0,0.0,0.0,0.0,75.0,20101016
12,109,S17G01N3,245028,1,0,4,0,0,0,0,2,6,2,8,0,4,3,4,0,0,2,2,2,23,59,0,0,0,0,0,0,2,1,2,2,1,60,6,7,0.358607,8.5034,750.521,75.0,20101016
13,114,S17G01N3,290238,1,0,9,1,1,0,0,7,15,8,18,0,2,5,5,0,0,2,3,5,31,17,0,0,0,1,0,1,3,6,1,1,1,60,14,22,0.544554,3.67647,1342.57,75.0,20101016
14,116,S17G01N3,290248,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,1,0,1,0,60,2,2,0.5,0.0,1500.0,75.0,20101016
15,106,S17G01N3,290335,2,1,9,0,0,0,0,2,5,2,10,0,2,2,2,1,0,3,3,0,23,4,0,0,0,0,0,0,5,1,1,1,1,06,9,6,0.275735,14.4092,1170.52,75.0,20101016
16,108,S17G01N3,650014,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,17,50,0,0,0,0,0,0,0,1,1,0,0,06,1,0,0.0,33.3333,168.224,75.0,20101016
17,121,S17G01N4,215053,2,1,2,0,0,0,0,6,6,6,6,0,3,2,2,1,0,3,3,2,30,1,6,6,12,0,0,0,0,4,1,2,1,16,4,14,1.01744,15.528,303.831,57.0,20101016
18,124,S17G01N4,230056,4,0,2,0,0,0,0,2,2,3,5,0,3,2,2,0,0,2,3,0,25,56,2,2,4,2,0,1,3,2,0,3,1,16,2,9,0.765306,33.67,175.835,57.0,20101016
19,134,S17G01N4,230061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,0.0,0.0,57.0,20101016
20,125,S17G01N4,250039,1,1,2,0,0,0,0,2,4,2,5,0,0,0,0,0,0,2,3,0,22,12,2,3,4,0,0,0,1,1,0,0,1,16,2,4,0.4,14.2857,205.405,57.0,20101016
21,137,S17G01N4,290111,0,0,2,0,0,0,0,0,4,0,4,0,3,0,0,0,0,2,3,1,23,31,0,2,0,0,0,0,0,2,1,2,1,30,3,0,0.0,0.0,290.858,57.0,20101016
22,138,S17G01N4,290283,0,0,0,0,0,0,0,1,1,1,3,0,3,1,2,1,0,2,1,1,9,3,1,1,2,0,0,0,2,1,3,0,0,30,1,3,0.386598,0.0,251.934,57.0,20101016
23,145,S17G01N5,220050,3,0,1,0,0,0,0,2,2,3,3,0,3,0,0,0,0,1,2,0,16,41,1,1,2,1,0,1,1,2,0,3,1,50,1,7,1.16667,37.5,153.447,64.0,20101016
24,160,S17G01N5,230071,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,3,2,0,7,27,0,0,0,0,0,0,0,0,1,0,0,55,0,2,0.5,0.0,0.0,64.0,20101016
