,ast,bs,defr,dk,dkA,ef,fb,fg,fgA,fgtA,fo,foul,ft,ftA,gd,offr,pp,ppA,pscore,stl,tf,threep,threepA,to,wft,woft,rb,score,trueShooting,astRatio,rebRatio,home_away,gmkey,tcode
0,2.3333,0.0000,1.3333,0.0000,0.0000,0.0000,0.0000,2.6667,3.3333,4.3333,0.0000,1.0000,1.6667,2.0000,0.0000,0.0000,2.6667,3.3333,5.3333,1.3333,0.0000,0.3333,1.0000,1.3333,0.3333,0.6667,1.3333,8.0000,0.2557544708251953,8.758758544921875,83.75308736165364,1,S17G01N1,10
1,1.0000,0.6667,0.6667,0.0000,0.0000,0.0000,0.0000,0.6667,2.0000,2.6667,0.0000,0.6667,2.0000,2.0000,0.3333,0.0000,0.3333,1.0000,0.6667,0.0000,0.0000,0.3333,0.6667,1.6667,0.0000,0.6667,0.6667,4.3333,0.2036340832710266,5.36480712890625,43.960601806640625,2,S17G01N1,70
2,4.0000,0.3333,4.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.3333,7.3333,0.0000,2.3333,3.0000,3.6667,0.0000,0.3333,0.6667,1.3333,1.3333,1.6667,0.0000,2.3333,5.0000,2.3333,1.3333,1.0000,4.3333,12.0000,0.6409418185551962,29.221250851949055,318.7010243733724,1,S17G01N2,35
3,1.5000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5000,3.0000,0.0000,1.0000,0.5000,0.5000,0.0000,0.0000,0.0000,1.5000,0.0000,0.0000,0.0000,1.0000,1.5000,1.0000,0.5000,0.5000,0.5000,3.5000,0.27173912525177,13.11188793182373,38.465274810791016,2,S17G01N2,65
4,1.3333,0.0000,1.6667,0.0000,0.0000,0.0000,0.0000,0.6667,1.6667,2.3333,0.0000,1.0000,2.0000,2.6667,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.6667,1.3333,1.0000,0.0000,2.6667,3.3333,0.1750700275103251,17.554409662882488,249.80169677734375,1,S17G01N3,06
5,1.0000,0.0000,6.5000,0.5000,0.5000,0.0000,0.0000,4.5000,10.5000,13.0000,0.0000,3.0000,4.0000,4.5000,0.0000,3.5000,0.0000,0.0000,0.0000,0.5000,0.0000,0.5000,2.5000,3.5000,1.5000,1.5000,10.0000,14.5000,0.4515805095434189,6.089936137199402,1046.5445251464844,2,S17G01N3,60
6,2.3333,0.6667,2.0000,0.0000,0.0000,0.0000,0.0000,3.3333,4.0000,5.3333,0.0000,2.0000,1.3333,1.3333,0.3333,0.6667,3.3333,3.6667,6.6667,0.6667,0.0000,0.3333,1.3333,2.3333,0.3333,1.6667,2.6667,9.0000,0.7275826632976532,21.161232312520344,228.35736592610678,2,S17G01N4,16
7,0.6667,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.3333,0.3333,1.3333,0.0000,1.0000,0.3333,0.6667,0.3333,0.3333,0.3333,0.3333,0.6667,0.3333,0.0000,0.3333,1.0000,0.3333,1.0000,0.0000,0.6667,2.0000,0.6288659771283468,22.22222137451172,136.4520060221354,1,S17G01N4,30
8,2.5000,0.5000,3.0000,0.0000,0.0000,0.0000,0.0000,3.5000,3.5000,4.0000,0.0000,3.5000,1.5000,3.0000,0.0000,2.0000,3.0000,3.0000,6.0000,0.5000,0.0000,0.5000,0.5000,1.5000,2.0000,1.5000,5.0000,10.0000,1.0087259709835052,28.148496627807617,462.0075454711914,2,S17G01N5,50
9,0.0000,0.3333,1.6667,0.0000,0.0000,0.0000,0.0000,1.0000,1.6667,2.6667,0.0000,2.3333,0.3333,0.3333,0.3333,0.3333,0.6667,1.0000,1.3333,0.6667,0.0000,0.6667,1.0000,0.6667,0.6667,1.6667,2.0000,4.3333,0.5960960984230042,0.0,157.12317403157553,1,S17G01N5,55
